SECURITY NAME,SYMBOL,LOT SIZE
AARTI INDUSTRIES LTD                ,AARTIIND,1000
ABB INDIA LIMITED                   ,ABB,250
ABBOTT INDIA LIMITED                ,ABBOTINDIA,40
ACC LIMITED                         ,ACC,300
ADANI ENTERPRISES LIMITED           ,ADANIENT,300
ADANI PORT & SEZ LTD                ,ADANIPORTS,800
ADITYA BIRLA CAPITAL LTD.           ,ABCAPITAL,5400
ADITYA BIRLA FASHION & RT,ABFRL,2600
ALKEM LABORATORIES LTD.             ,ALKEM,200
AMBUJA CEMENTS LTD                  ,AMBUJACEM,1800
APOLLO HOSPITALS ENTERPRISE LTD           ,APOLLOHOSP,125
APOLLO TYRES LTD,APOLLOTYRE,1700
ASHOK LEYLAND LTD                   ,ASHOKLEY,5000
ASIAN PAINTS LIMITED                ,ASIANPAINT,200
ASTRAL LIMITED                      ,ASTRAL,367
ATUL LTD                            ,ATUL,75
AU SMALL FINANCE BANK LTD           ,AUBANK,1000
AUROBINDO PHARMA LTD                ,AUROPHARMA,1100
AXIS BANK LIMITED                   ,AXISBANK,625
BAJAJ AUTO LIMITED                  ,BAJAJ-AUTO,250
BAJAJ FINANCE LIMITED               ,BAJFINANCE,125
BAJAJ FINSERV LTD.                  ,BAJAJFINSV,500
BALKRISHNA IND. LTD                 ,BALKRISIND,300
BALRAMPUR CHINI MILLS LTD           ,BALRAMCHIN,1600
BANDHAN BANK LIMITED                ,BANDHANBNK,2500
BANK OF BARODA                      ,BANKBARODA,5850
BATA INDIA LTD                      ,BATAINDIA,375
BERGER PAINTS (I) LTD               ,BERGEPAINT,1100
BHARAT ELECTRONICS LTD              ,BEL,5700
BHARAT FORGE LTD                    ,BHARATFORG,1000
BHARAT PETROLEUM CORP  LT           ,BPCL,1800
BHARTI AIRTEL LIMITED               ,BHARTIARTL,950
BHEL                                ,BHEL,10500
BIOCON LIMITED.                     ,BIOCON,2500
BIRLASOFT LIMITED                   ,BSOFT,2000
BOSCH LIMITED                       ,BOSCHLTD,50
BRITANNIA INDUSTRIES LTD            ,BRITANNIA,200
CAN FIN HOMES LTD                   ,CANFINHOME,975
CANARA BANK                         ,CANBK,2700
CHAMBAL FERTILIZERS LTD             ,CHAMBLFERT,1900
CHOLAMANDALAM IN & FIN CO           ,CHOLAFIN,1250
CIPLA LTD                           ,CIPLA,650
CITY UNION BANK LTD                 ,CUB,5000
COAL INDIA LTD                      ,COALINDIA,4200
COFORGE LIMITED                     ,COFORGE,150
COLGATE PALMOLIVE LTD.              ,COLPAL,350
CONTAINER CORP OF IND LTD           ,CONCOR,1000
COROMANDEL INTERNTL. LTD            ,COROMANDEL,700
CROMPT GREA CON ELEC LTD            ,CROMPTON,1800
CUMMINS INDIA LTD                   ,CUMMINSIND,600
DABUR INDIA LTD                     ,DABUR,1250
DALMIA BHARAT LIMITED               ,DALBHARAT,500
DEEPAK NITRITE LTD                  ,DEEPAKNTR,300
DELTA CORP LIMITED                  ,DELTACORP,2800
DIVI S LABORATORIES LTD             ,DIVISLAB,200
DIXON TECHNO (INDIA) LTD            ,DIXON,200
DLF LIMITED                         ,DLF,1650
DR. LAL PATH LABS LTD.              ,LALPATHLAB,300
DR. REDDY S LABORATORIES            ,DRREDDY,125
EICHER MOTORS LTD                   ,EICHERMOT,175
ESCORTS KUBOTA LIMITED              ,ESCORTS,275
EXIDE INDUSTRIES LTD                ,EXIDEIND,3600
FEDERAL BANK LTD                    ,FEDERALBNK,5000
GAIL (INDIA) LTD                    ,GAIL,9150
GLENMARK PHARMACEUTICALS            ,GLENMARK,1450
GMR AIRPORTS INFRA LTD              ,GMRINFRA,22500
GODREJ CONSUMER PRODUCTS            ,GODREJCP,1000
GODREJ PROPERTIES LTD               ,GODREJPROP,475
GRANULES INDIA LIMITED              ,GRANULES,2000
GRASIM INDUSTRIES LTD               ,GRASIM,475
GUJ NAR VAL FER & CHEM L            ,GNFC,1300
GUJARAT GAS LIMITED                 ,GUJGASLTD,1250
HAVELLS INDIA LIMITED               ,HAVELLS,500
HCL TECHNOLOGIES LTD                ,HCLTECH,700
HDFC AMC LIMITED                    ,HDFCAMC,300
HDFC BANK LTD                       ,HDFCBANK,550
HDFC LIFE INS CO LTD                ,HDFCLIFE,1100
HERO MOTOCORP LIMITED               ,HEROMOTOCO,300
HINDALCO  INDUSTRIES  LTD           ,HINDALCO,1400
HINDUSTAN AERONAUTICS LTD           ,HAL,300
HINDUSTAN COPPER LTD                ,HINDCOPPER,5300
HINDUSTAN PETROLEUM CORP            ,HINDPETRO,2700
HINDUSTAN UNILEVER LTD.             ,HINDUNILVR,300
ICICI BANK LTD.                     ,ICICIBANK,700
ICICI LOMBARD GIC LIMITED           ,ICICIGI,500
ICICI PRU LIFE INS CO LTD           ,ICICIPRULI,1500
IDFC FIRST BANK LIMITED             ,IDFCFIRSTB,15000
IDFC LIMITED                        ,IDFC,10000
INDIABULLS HSG FIN LTD              ,IBULHSGFIN,5100
INDIAMART INTERMESH LTD             ,INDIAMART,300
INDIAN ENERGY EXC LTD               ,IEX,3750
INDIAN OIL CORP LTD                 ,IOC,9750
INDIAN RAIL TOUR CORP LTD           ,IRCTC,875
INDRAPRASTHA GAS LTD                ,IGL,1375
INDUS TOWERS LIMITED                ,INDUSTOWER,3400
INDUSIND BANK LIMITED               ,INDUSINDBK,500
INFO EDGE (I) LTD                   ,NAUKRI,150
INFOSYS LIMITED                     ,INFY,400
INTELLECT DESIGN ARENA              ,INTELLECT,1300
INTERGLOBE AVIATION LTD             ,INDIGO,300
IPCA LABORATORIES LTD               ,IPCALAB,650
ITC LTD                             ,ITC,1600
JINDAL STEEL & POWER LTD            ,JINDALSTEL,1250
JK CEMENT LIMITED                   ,JKCEMENT,250
JSW STEEL LIMITED                   ,JSWSTEEL,1350
JUBILANT FOODWORKS LTD              ,JUBLFOOD,1250
KOTAK MAHINDRA BANK LTD             ,KOTAKBANK,400
L&T FINANCE HOLDINGS LTD            ,L&TFH,8924
L&T TECHNOLOGY SER. LTD.            ,LTTS,200
LARSEN & TOUBRO LTD.                ,LT,300
LAURUS LABS LIMITED                 ,LAURUSLABS,1700
LIC HOUSING FINANCE LTD             ,LICHSGFIN,2000
LTIMINDTREE LIMITED                 ,LTIM,150
LUPIN LIMITED                       ,LUPIN,850
M&M FIN. SERVICES LTD               ,M&MFIN,4000
MAHANAGAR GAS LTD.                  ,MGL,800
MAHINDRA & MAHINDRA LTD             ,M&M,700
MANAPPURAM FINANCE LTD              ,MANAPPURAM,6000
MARICO LIMITED                      ,MARICO,1200
MARUTI SUZUKI INDIA LTD.            ,MARUTI,100
MAX FINANCIAL SERV LTD              ,MFSL,800
METROPOLIS HEALTHCARE LTD           ,METROPOLIS,400
MPHASIS LIMITED                     ,MPHASIS,275
MRF LTD                             ,MRF,10
MULTI COMMODITY EXCHANGE            ,MCX,400
MUTHOOT FINANCE LIMITED             ,MUTHOOTFIN,550
NATIONAL ALUMINIUM CO LTD           ,NATIONALUM,7500
NAVIN FLUORINE INT. LTD             ,NAVINFLUOR,150
NESTLE INDIA LIMITED                ,NESTLEIND,40
NMDC LTD.                           ,NMDC,4500
NTPC LTD                            ,NTPC,3000
OBEROI REALTY LIMITED               ,OBEROIRLTY,700
OIL AND NATURAL GAS CORP.           ,ONGC,3850
ORACLE FIN SERV SOFT LTD.           ,OFSS,200
PAGE INDUSTRIES LTD                 ,PAGEIND,15
PERSISTENT SYSTEMS LTD              ,PERSISTENT,175
PETRONET LNG LIMITED                ,PETRONET,3000
PI INDUSTRIES LTD                   ,PIIND,250
PIDILITE INDUSTRIES LTD             ,PIDILITIND,250
PIRAMAL ENTERPRISES LTD             ,PEL,750
POLYCAB INDIA LIMITED               ,POLYCAB,300
POWER FIN CORP LTD.                 ,PFC,6200
POWER GRID CORP. LTD.               ,POWERGRID,2700
PUNJAB NATIONAL BANK                ,PNB,16000
PVR INOX LIMITED                    ,PVRINOX,407
RBL BANK LIMITED                    ,RBLBANK,5000
REC LIMITED                         ,RECLTD,8000
RELIANCE INDUSTRIES LTD             ,RELIANCE,250
SAMVRDHNA MTHRSN INTL LTD           ,MOTHERSON,7100
SBI CARDS & PAY SER LTD             ,SBICARD,800
SBI LIFE INSURANCE CO LTD           ,SBILIFE,750
SHREE CEMENT LIMITED                ,SHREECEM,25
SHRIRAM FINANCE LIMITED             ,SHRIRAMFIN,600
SIEMENS LTD                         ,SIEMENS,275
SRF LTD                             ,SRF,375
